Demand for PJM Interconnection LLC (PJM) American Electric Power zone hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390296&sdid=EBA.PJM-AEP.D.H
19:27:58 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.PJM-AEP.D.H megawatthours
09/28/2022 11H,13320
09/28/2022 10H,12234
09/28/2022 09H,11544
09/28/2022 08H,11346
09/28/2022 07H,11353
09/28/2022 06H,11377
09/28/2022 05H,11619
09/28/2022 04H,12027
09/28/2022 03H,12710
09/28/2022 02H,13300
09/28/2022 01H,13919
09/28/2022 00H,13801
09/27/2022 23H,13387
09/27/2022 22H,13430
09/27/2022 21H,13399
09/27/2022 20H,13397
09/27/2022 19H,13445
09/27/2022 18H,13608
09/27/2022 17H,13580
09/27/2022 16H,13490
09/27/2022 15H,13500
09/27/2022 14H,13405
09/27/2022 13H,13425
09/27/2022 12H,13504
09/27/2022 11H,12883
09/27/2022 10H,11961
09/27/2022 09H,11283
09/27/2022 08H,10993
09/27/2022 07H,11040
09/27/2022 06H,11257
09/27/2022 05H,11458
09/27/2022 04H,11943
09/27/2022 03H,12578
09/27/2022 02H,13336
09/27/2022 01H,13904
09/27/2022 00H,13918
09/26/2022 23H,13773
09/26/2022 22H,13908
09/26/2022 21H,14003
09/26/2022 20H,14080
09/26/2022 19H,13983
09/26/2022 18H,14088
09/26/2022 17H,14027
09/26/2022 16H,13833
09/26/2022 15H,13595
09/26/2022 14H,13393
09/26/2022 13H,13253
09/26/2022 12H,13094
09/26/2022 11H,12532
09/26/2022 10H,11477
09/26/2022 09H,10897
09/26/2022 08H,10649
09/26/2022 07H,10681
09/26/2022 06H,10834
09/26/2022 05H,11160
09/26/2022 04H,11487
09/26/2022 03H,12099
09/26/2022 02H,12750
09/26/2022 01H,13275
09/26/2022 00H,13099
09/25/2022 23H,12964
09/25/2022 22H,13023
09/25/2022 21H,12919
09/25/2022 20H,12641
09/25/2022 19H,12556
09/25/2022 18H,12638
09/25/2022 17H,12484
09/25/2022 16H,12267
09/25/2022 15H,12165
09/25/2022 14H,11719
09/25/2022 13H,11399
09/25/2022 12H,10923
09/25/2022 11H,10752
09/25/2022 10H,10485
09/25/2022 09H,10408
09/25/2022 08H,10341
09/25/2022 07H,10475
09/25/2022 06H,10615
09/25/2022 05H,10885
09/25/2022 04H,11376
09/25/2022 03H,11896
09/25/2022 02H,12370
09/25/2022 01H,12806
09/25/2022 00H,12774
09/24/2022 23H,12688
09/24/2022 22H,12612
09/24/2022 21H,12602
09/24/2022 20H,12508
09/24/2022 19H,12474
09/24/2022 18H,12410
09/24/2022 17H,12431
09/24/2022 16H,12327
09/24/2022 15H,12297
09/24/2022 14H,12155
09/24/2022 13H,11835
09/24/2022 12H,11421
09/24/2022 11H,11106
09/24/2022 10H,10707
09/24/2022 09H,10591
09/24/2022 08H,10491
09/24/2022 07H,10585
09/24/2022 06H,10759
09/24/2022 05H,11041
09/24/2022 04H,11449
09/24/2022 03H,12108
09/24/2022 02H,12781
09/24/2022 01H,13145
09/24/2022 00H,13208
09/23/2022 23H,13060
09/23/2022 22H,13333
09/23/2022 21H,13377
09/23/2022 20H,13262
09/23/2022 19H,13328
09/23/2022 18H,13344
09/23/2022 17H,13400
09/23/2022 16H,13328
09/23/2022 15H,13429
09/23/2022 14H,13333
09/23/2022 13H,13277
09/23/2022 12H,13173
09/23/2022 11H,12597
09/23/2022 10H,11672
09/23/2022 09H,11180
09/23/2022 08H,10976
09/23/2022 07H,10995
09/23/2022 06H,11259
09/23/2022 05H,11634
09/23/2022 04H,12085
09/23/2022 03H,12820
09/23/2022 02H,13496
09/23/2022 01H,14100
09/23/2022 00H,14190
09/22/2022 23H,14197
09/22/2022 22H,14404
09/22/2022 21H,14683
09/22/2022 20H,14806
09/22/2022 19H,15065
09/22/2022 18H,15052
09/22/2022 17H,14966
09/22/2022 16H,14915
09/22/2022 15H,14835
09/22/2022 14H,14383
09/22/2022 13H,14140
09/22/2022 12H,14095
09/22/2022 11H,13744
09/22/2022 10H,12958
09/22/2022 09H,12434
09/22/2022 08H,12397
09/22/2022 07H,12673
09/22/2022 06H,13078
09/22/2022 05H,13527
09/22/2022 04H,14405
09/22/2022 03H,15634
09/22/2022 02H,16766
09/22/2022 01H,17732
09/22/2022 00H,18096
09/21/2022 23H,18968
09/21/2022 22H,19318
09/21/2022 21H,19342
09/21/2022 20H,19112
09/21/2022 19H,18733
09/21/2022 18H,18021
09/21/2022 17H,17084
09/21/2022 16H,16198
09/21/2022 15H,15571
09/21/2022 14H,14912
09/21/2022 13H,14428
09/21/2022 12H,14014
09/21/2022 11H,13395
09/21/2022 10H,12508
09/21/2022 09H,12006
09/21/2022 08H,11959
09/21/2022 07H,12079
09/21/2022 06H,12415
09/21/2022 05H,12915
09/21/2022 04H,13754
09/21/2022 03H,14763
09/21/2022 02H,15902
09/21/2022 01H,16883
09/21/2022 00H,17250
09/20/2022 23H,17836
09/20/2022 22H,18350
09/20/2022 21H,18265
09/20/2022 20H,18095
